Username,Comment
@AndreyAndrey-i3h,To be honest Barcelona played well and inter too. Don't worry and don't be stressed guys it's just unlucky. Thanks for Barcelona for game and I will congratulate Inter fans. Both of them played fantastic
@ColletaMutuse,How many don't understand their language
@JOHNXINA.297,"Just like arsenal did few weeks ago inter did yesterday, both saved world from noise pollution."
@jitendrakumargondgond6582,3
@Cr7world1234,When milan shows its power 😂😂😂
@Suborno-u8f,Its clear without Messi there is no Barca.
@imsindy99,😢😢😢
@dilbekjonbek,Refre is THE buy .
@AFROZ_ELITE,Real Madrid in corner 😂😂
@Sahih6789,This proves that Real Madrid is indeed superior to Barcelona. A team with 15 UCL trophies is indeed three times superior to a team with 5 UCL trophies.
@karengamer2283,Taremi from Iran 🇮🇷
@Messifan_PS,Well played inter players
@TrentRMfc,Inter milian saved football. Inter is my second favorite team after madrid. Thank you🥰
@GulidaTursunova,Kecha realni ustidan kulganlar axvolingiz endi  qanday
@beloglavisup2,Barca still loses without Danny Alves.
@isaaclnfa6507,Commentator is clearly a barca fan 😂😂😂😂
@melishrestha781,All time favourite football club inter milano. Brovo....🙏🙏🙏🇳🇵🇳🇵🇳🇵
@pepemartinez1007,"Bravo Inter! Barça buen equipo, pero la historia pesa."
@abirhasanabir8387,"বার্সেলোনা vs ইন্টার❎
ইন্ডিয়া vs পাকিস্তান ☑️"
@gladisrauda3739,"Gracias al árbitro,el inter son unos ladrones"
@Metalcrust21,Fell asleep after 2:3. Second half Inter were playing like children I don't know how they did such a comeback.
@januarmada,Barcelona tim terlemah di dunia
@NodirjonYunusov-ej7io,Barsa olgʻa
@shaiksaif7857,1
@Gamer32515,4
@Ankit_Kumar_crazy_boy,Amazing day to be a Inter supporter 😁 even had a Stake bet on us winning it 🙏 I really loved the atmosphere of this game it made it memorable for me with that kind of crowd and noise ❤️ def one of the best semi finals in champions league history 👏
@shyamkhadka4894,"Finally after the loss u  can say smth abt lamine ,plz ppl let him grow u cant never ever compare this boy to messi-ronaldo .If he's lucky enough  to achieve half of what this two have achieve ,he got the sucess .Neymar is the best example when ppl use to  label him  with messi-ronaldo .we can just  hope and wish  lamine to be that best but its nt that good to hype this young boy to  that lenght .Just my thing ."
@inoyathonkomilova,Hala inter
@elliasmudau5931,The champions league has outgrown Barcelona 🙌🏽
@KRAXX88,Кулесы со всех кишлаков и аулов стонут😂
@elliasmudau5931,Win at SANSIRO it's not an easy😁
@Theone-eh6cw,Barcelona goalkeeper is not goood
@NdizeyeYoussuf-vg4lm,"This was childish of Barcelona 's players, why always Come back to score ,that's mean no respect was to inter Milan. So you learn, next year ,I wish to you good things."
@SolohiddinMirmusayev-r6w,This match wasnʼt fair
@Popsdorian3921,Best match and I fell asleep at 2-2 😅😂 top class comeback so glad they came back we did a 2-0 comeback to a 4-4 draw start of our season so 4-3 and this stage is a nosebleed win 🏆
@pritamdas5889,Not a fan of inter but came here to watch barkalona loosing 😂
@hadaptana4546,Even commentators are biased ufff..when inter goals they are so normal but when barca goals they are so noise pollution..
@alessandrosparta7280,Sucaaaaaaaaaaaaaaaaaaaa forza Inter
@LiftedbyFaith-z5o,Bombardino crocodilo 🐊
@nabilnaili7744,Le italien trop cool champion ça pousse
@JorgeSerpas-v5v,"Yamal es Marroqui, no Español, talvez asi la prensa española no lo infle a la altura de Messi..😂...nunca seea un Ronaldinho, es un jugador del monton, no le veo talento extremo, la necesidad de crear un crack...miedo  de la prensa española a la Messidependencia que cualquiera que le pegue con 3 dedos es un crack😂😂"
@joancanellas7,FORZAAAAA INTER💙🖤
@zoromathurindja,Jerce de Modric
@ЙокубБебитив,😂😂😂😂😂😂😂
@punchandra60,Tiger 🐅 go back cat 🐈😂😂
@tanvimondal1359,Just remember the score the 2019 ucl semi finals 2nd leg .4-3 again💀
@pierremaille4773,"I heard the supporters from my home


I live in France."
@sabeenashiju6065,What a commentry❤
@koa818,🎉🎉🎉👍
@vanlabban3622,"If it had been a premier league match we would have heard about 3red cards, what a match"
@siina.aaann-07,Remontadaaa 😂
@albertodgr8,objetividad 0 solo q a eptan continúa españoles
@phoenixgamer2991,That commentator was so damn baised 😂
@FatmaAttariali,"15 ucl title not every one cup of tea,👍no more Barca in ucl😭"
@biggbossnews4235,Now laliga will also be taken by Real Madrid
@KoKo-in9tl,Thanks 🎉🎉🎉🎉🎉🎉
@SpookeHD,"The fact that the caster changes the way he says ""goal"" either if it's inter or barca who scores, just kills me everytime lmao"
@jhonamit8505,What kind of defense is this😂😂😂😂😂Barcelona totally sucked
@jslimhnda5515,"Se nota el favoritismo de estos narradores, los goles del Inter no los gritaron en cambio los del barça los gritaron a todo pulmón, pero que bueno que él Inter les cerró la bocota. 😊🤫"
@игорьбадыгин-д9н,Более тупого обзора трудно представить
@17-Year-OldBallondOr,"""I did everything I could… but they just kept coming."" 😓 What a heartbreaking night for Barça — defense completely collapsed in the second half."
@Amadoudjallo-ym7bj,Inter Milan And FC Barcelona win but it's thanks to their referee 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢
@jhonamit8505,Third goal of inter..what a fool Barcelona defence
@arunsebastian6794,Call messi win champions league
@auei,"The hate was satisfying... Arsa, next"
@zholdoshsafaraliev7802,"I ❤ İNTER
I ❤ İTALY
🎉"
@ishikachauhan2004,First goal of inter was offside
@JorgeSerpas-v5v,Y el Yamal que es melor que Messi😂😂😂😂😂
@mrbean2267,Я представляю что ощутили болельщики Интера  🔥🔥🔥🔥
@EMDADUL_haque-hcfh,I am real Madrid supporters ya barac lose🎉
@opleoper,The best comeback ever❤
@ГероинГероиныч-щ5в,Как же предсказание симсонов🤮🤮🤮
@DonboklangsutingSuting,Go inter Milan go
@AbdulKayum-d8i,Barca power other stage good when near final they always no chance  😅 from 2016 to till now
@kellybendry1617,Not a fan of Italian football due to racism but cheers inter Milan well done🎉🎉
@ronpalencia8813,Good job Inter 😂😂😂
@irwancerme224,Akhirnya club anak FIFA out😂😂😂😂😂
@ГероинГероиныч-щ5в,Вот снова Сильнейшая команда проигрывает команде слабее...... Мяч круглый
@LOCAL10offical,2:14 lautaro celebrate Messi celebration
@lewisdevere-q2c,That defender should have come forward the attacker he gave away that goal
@NeopiHaokip-d4w,Lamine Yamal talk shit again bro😂😂😂😂 only mouth
@DeandraAndra-k9d,komentar nya mendukung barcelonaa 😂😂
@BaxtigulPirmatova-jn7hk,Malades  intir
@imzie.ziantoimam3761,Semoga juara champions 2024-2025 💙🖤
@imzie.ziantoimam3761,Congrats interistiqu💙🖤
@LIBEARTED,Its interesting than ind vs pak war
@Nibir217,The Curse of Barcelona Green Kit😂🙏
@PradeepThagunna-h7y,Now cry varca fans 😢😢😢😢
@BojanAtang,blaming ref incoming 😂
@dodomankotomamba8690,The best and incroyable match i never see in my life 😮 weldone international 👏🏾👏🏾👏🏾 wahouu...
@robert111k,Menos mal. De la que nos hemos librado.
@eugenioangelomatavel7046,From MADRID thanks inter
@AliRudjjf,Barca fans winning ucl is easy😂😂
@ChoudharyyyyyyJI,Araujo playing really bad very bad
@gitarisKidal13,Kiper Barca mantan kiper Juventus
@Тимур-м9п3о,😂 Интер 👍
@gitarisKidal13,❤❤❤❤
@ZaighamAbbas-w5m,Barca deserve win
@gitarisKidal13,FCB kagak jadi trable tropi
@ថាំងបរិញ្ញា,"It’s Barcelona fault, don’t underestimate your opponent. After Raphinha scored why don’t they play a bus stop technique, and Martin is really over proud on himself, not trying to stop Dumfries quickly."
@AbdumannonSadullayev-j8o,Интер чемпион
@michaelogizi4848,Pain in destiny
@RijoysdaimariRijoysdaimari,Visca barca 😂😂😂😂
@AbdulqodirHabibullayev,Barselona😂😂😂😂😂 4:3
@nescoto9696,😂 Los comentaristas  los goles de el Inter no los cantaban 😂😂😂😂😂😂😂😂
@AbdulqodirHabibullayev,Baselona😂😂😂😂😂
@ShaxriyorRadjabov-n4w,😭😭😭😭barcelona
@dabhidpr7210,"Buenos 2 partidos de semifinales. Pero al Árbitro se le notó en varias decisiones de que equipo es… Porque no se ha atrevido a pitar varias acciones polémicas a favor del Barsa, no ha pitado un penalti a Lamine, no ha pitado una mano dentro del área del jugador del Inter y una falta clarísima previa al 3-3 que no la han ni revisado. Si esas acciones fueran a favor de un equipo con camiseta blanca habría pitado 2 penaltis y el tercer gol anulado por falta previa. Pero el Barsa ha fallado bastante en defensa en la ida y en la vuelta, recibir 7 goles encontra no es muy normal."
@rahmanfazlola,Forza Inter 🖤💙
@gitarisKidal13,Mudah2an PS-G dapat menumbangkan Arsenal
@gitarisKidal13,Mudah2an Inter vs PS-G
@luigiorsenigo9649,We are Your cruise 💙🖤
@NuredinM19,Inter saved the world from noise pollution🫡❤️I’m so happy 😌😌 HALA MADRID🤍🤍  BARCELONA IS THE FIRST TEAM TO COMEBACK AND GO BACK  me like YouTube Please
@gitarisKidal13,Yes yes FCB kalah
@ShawnLovell-h5s,Good game
@FullmanBinan,Inter😍😍
@SelipJunior,Hater Barcelona .......button 😂  🎉
@romario1455,Commentator was def a Barca fan 😂😂
@mohammedabdulmuqtadir8412,Amazing intermilan❤
@ChellinDong,3jam jantung kayak mau copot lihat perjuangan inter milan😊
@sergiohidalgo6391,Muy bien hecho por los espaguetis mis saludos y felicitaciones desde la distancia 👏👏👏
@lsg9999,Commentator was barca fan 🤡🤣🤣🤣
@asd19426,How many madridtas here ✋🏻
@cutennesarmy,If i see when Raphina cry i too cry its so unreal when FCB unwin🥹
@mosesLalthlengliana,Even referees can't save them...
@fusasan5791,Estos narradores eran más culés que el mismo Negreira 😂😂😂
@MctavoLopez-p1x,Jjjjjj esos comentarista son del basa
@pradhumnabhetwal6253,Inter saved footbal 🎉😂😂
@chalistachannel2650,Waktunya juara ucl Forza inter
@carmelosaia1583,"Complimenti al Barca. Una semifinale storica. 💪🏻

Forza Inter 🖤💙🖤💙"
@PaogoulalTouthang,Uisu sports 💔
@abhinavkrishna1780,I'm a barca fan but  well deserved game for inter good luck in the finals
@YewinAung-of6wg,Wellplay inter🎉🎉
@umarsaid5566,forza inter
@marcelocevas2435,El antifutbol le ganó al fútbol total.
@Andi-m6b,Wasit nya perlu di adili..😡
@raphaelkechlet1499,"Vamos inter Madrid 
 hala inter🎉😂😢❤❤❤🎉🎉🎉"
@Joyal0007,"As a barca fan am not even that sad, i could see one of the best semifinals......"
@peterihesie344,Thank you inter Milan for saving today's noise pollution
@Andi-m6b,Pelatih Barcelona kurang taktik..👎
@elfego-iy1uz,Absolute cinema 🎥 💀
@ObengTV,Amazing match ❤❤
@joyrodrigues7597,Wont feel sorry for them. just a month ago when madrid lost they celebrated like they won the CL
@siamnampui2821,"Good season or bad season, barcelona doesn't belong in champions league 🤣"
@Andi-m6b,Barcelona hanya juara kandang..😂😂
@leoboy7972,Wel playd barca
@AshOwnsIQ,Insane game
@Andi-m6b,Ganti pelatih Barcelona..👎
@ZawThanHtway,အက်တာရယ်မင်းရဲ့အပျော်တွေကငါနဲ့ထပ်တူပါဘဲ
@bidhan352,😊
@Henkho543,Cry Barca fans 🤣😭
@tarikchadili9696,Ultra Instinct Sommer
@arturoherrera3616,these highlites are crap
@brave-i9l,Vote Reform and save Britain.
@inter44s,يارب البطولة للإنتر 💙🖤
@shafreenashafreena4113,Inter ❤️❤️🔥
@gembongafghon4233,Kasiaan deh barca😂😂
@melvainesbenjumeamarin7309,Bravoooo!!!! Por el buen futbol.
@SandDel,Commentator screaming GOALLLL!!!!!😱😱😱 For Barca and just goal for inter got me 😂
@pacopina3,Roboooo
@LegendYtUZB,Actually  Commentators were barsa fans🤡😂
@YkubJinaydov,Messiiiiiiiii 😢😓😓😓😓😓😓😓😔😔😔😔
@PheloFaleni,It was final before final inter Milan is going to be champions
@OlivaSeran,Gue fans Real Madrid dan juga inter milan
@pablom.ferrando628,Lautaro 🇦🇷 4 - Raphinha 🇧🇷 3
@DanialSimin,Walau kalah kami bangga Bisca Barcaa
@mrsr9530,Damn green kit 🙌
@SujanSuzan-g3b,VISCAL BARCA 😢😢😢
@shnex-n7j,"Bar-gooooooooooooooooooooooooool
int-gol"
@fosterbuster2840,"Barcelona seemed like a freestyle team, good ball possession as usual but defensively beyond ridiculous. Inter was a more experienced team and deserved the final. Football is not a circus, this Barcelona is not even a poor copy of Xavi and Iniesta's. They were also strong defensively"
@shnex-n7j,Коментатор болеет за барсу 100%😂
@aguswidodo_svg,padahal sudah dikasih perpanjangan wktu wkwkw..
@urfavtomatoes,"1 match, 2 crazy comebacks"
@mongolian12-p7i,barcelona unlucky dress
@vickyvenkat6818,Wow😮
@BoženaPohanková,"Super, super zápas 👍👍👍🙏👏👏👏"
@sangdowo,Absolute Cinema 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
@nora_bomber,This should have been the final
@JuanJimenez-bs8wf,Why narrators cried at last!
@amalfrancis2266,"Francesco Acerbi ❤️ 38 years old🔥
Forza inter💙"
@vijaymourya9726,The defense of barca is sus
@BhumikaAswal-m5w,"My dreams ,hope and heart all broken into piece 💔"
@pablom.ferrando628,"6:56 ""Se celebra como si ya tuvieran el billete a Munich"" JAJAJAJAJAJAJA!!"
@Alfa81wm,Im a barca fan... its was a great game...congratulations Inter
@suaiebhossain9050,Intermilan save the world from noise pollution 😂😂
@MS-vh1yr,Volvio a su realidad Barcelona
@MdyosufSaidy,inter saved football🤣🤣🤣🤣🤣🤣
@JACKPOT911,"❤
Do you really believe Barca can consume a single goal against inter in such an important like that in their home ground??? I don't think so. In my opinion this is a pure premeditated drama just to destroy some innocent fans or  professionals who love to make some money.
****Note: I didn't bet on that match.
Please don't destroy the Beauty of a game."
@didierchaves2897,Arbitrage catastrophique...
@chenchen6594,伟大的国际米兰。伟大的比赛！！！
@Mrban7vlog,Real madrid fans 🎉😁😆
@tontobonto2073,Good job inter
@mamasoatabdiyev4442,Shomurodov Roma
@KwesiAsante-c2i,Fact😂😂😂
@emmanuelakinola1873,"This has been the best match of the tournament so far, and probably one of the best match in the history of the game"
@sambonettyo,"Bravi ragazzi, ora pensiamo a finire il lavoro."
@bsy527,Haha the commentator saying goal after inter scores is so funny! I didn't know they really do that 😂
@Inselfdefense,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
@sethrollins1185,Mawla ali❤❤❤❤❤
@MrBig10000,"Barca are over confident 
And over ratted and the media hyped them too much"
@c111samakalam5,Thanks inter for making barca humble
@HriiiyioKayina,The commentator bet on Barca 🤣🤣
@akmisking6584,Tribul winners 🏆🏆😅😅😅😅😅😅😅😅😅😅
@PelèxEditz10,"They wanted remontada 🇪🇸🤫
And they got rimontata 🇮🇹💀"
@MUCHALITOPRODBT0908,Congratulations inter
@TriXuw27,"Inter beat Barcelona, ​​as I predicted. God willing, the final will be Inter-Arsenal. Liverpool, unfortunately, screwed up a great opportunity due to their mistake."
@OManners-s9q,"First leg 3:3, 2nd leg 3;3 in regulatied time. Outstanding performance by both teams. If Barca controls, Inter scores."
@jackmilner9088,Forza INTER🚀🚀🚀
@saintjaanko,I said it before
@pingpong07-x1j,"barsa thought they will win 😂😂😂
Ucl is not for small clubs"
@alemayeer,Worth watching
@bargahs,"Incredible Inter Barca, salute 😮"
@emmanueljaramillo,You know for sure Barca fans would have bragged about this UCL title for the resto of their annoying lives😂. Inter saved us from that
@getahunyeshanbel5190,Know lautaro is ballondor
@leinschongloieimi1395,Poor defending barcelona😂
@НиколайОчиров-я3ц,I understand nothing
@ddigu9391,😂😂😂 bohahahahahaha Barcelona yamal adios (( Real Madrid ))
@YassmatuBangura,It's one  of the best matches I have ever seen year so far
@elgar104,Some really poor defending....
@ERvision1,Inter showed a night we’ll never forget
@Imtiaz994,This should be a lesson for Yamal to be humble. He was being too arrogant before the match. Inter is a good team and his behaviour and his teammates behaviour was disrespectful. I think its good they lost. They will learn humility. Dont suck on lolipops before a game. It was done to mock inter. Guess who had the last laugh?😂
@abiakana6637,Pertandingan TERHEBAT ❤
@EmmanuelKEKEH,Inter a sauvé le monde de la pollution sonore ❤😂
@maulanafidyan9288,Kasih prank leg 2  . Barca is the best ❤
@reddevil7195,"Barca will be Madrid meme for a while now haha, however to be fare, their offence is by far the strongest in this completion, is their defence that led to this defeat"
@marcelohafneribanez5245,Yamal's back must be hurting from carrying barcelona in that match. Raphina went missing and araujo tried defending behind instead of infront of the opposite player. Last minute and he couldnt put himself in front.
@ggccdhhv8409,Inter good
@GideonBoateng-o5x,Inter saved the world
@wimanua,"Forza inter

From indonesia"
@seanjagat6061,Thank You  Inter Milan
@GamersUpdate-ny2ps,😅 11 year 0
@Savagevibee,Guyyyy God bless inter and the room guysss
@Synxz12333,Barcelonas defense honestly sold them. I’ll admit as a neutral I do think Barcelona was the better side they just couldn’t convert their chances but congrats to inter! Barca fans underestimated them so hard and got their karma. Barca look pretty strong it’s their defense lacking especially missing kounde and balde.
@AsapTop66,Inter just saved the world from noise pollution hallelujah
@RahmatRLA,Barcelona 😂😂😂
@SJRWhaaaaaa,World Cup match but in UCL ahh
@WhyLaw16,Sheesh 🤫
@eliasramonmunozgonzalez5015,FLICK DEBE INGRESAR ALGUNO DE SUS AMIGOS DEL CTA...  ASÍ SI!
@RamisAman,Yooooooo🕺🕺💁‍♂️💁‍♂️
@gurvirneymar,Green Jersey cursed
@engkafeezaaloysius.1023,Funny commentator.... 😂😂😂Barcelona former player maybe... Thank you inter..
@ElhadjiFaye-l9g,Sumer is the Best keeper in the world
@JazuliAli-i8z,Forza intermilano
@SJRWhaaaaaa,"Thought they were gonna do it for Madrid but it happened the other way around😂
Keep talking😂"
@XAVIER-rb6dr,"As a Madrid fans
 Barcelona deserve this season Champion league yar ❤"
@mcpulsecomedy2020,This was a Semi's more than a Finals..
@MdShahin-l1n-f8h,"I love YOU ❤❤❤❤
Inter Milan ❤❤❤❤"
@dcmessitinh5854,Người Ý rất bản lĩnh. Nếu không Spain sẽ chiếm hết giải bóng đá Châu Âu
@davidoliever692,Hala Madrid ❤😂
@dcmessitinh5854,Barcar lúc này cần có Messi thời trẻ
@vm788,Jajaja celebrando antes de tiempo su derrota😂😂
@TurkishGymBro,90+5 barca should of wasted time.... and that was a clear foul. Ref is rigged
@NurAlym-yv5dx,I am sad😢😢😢😢😢😢😢
@Luther1984,My guess is right... Inter.. Looking at self-destruction style of play from barca 😅
@boloking8264,"this has to be one of the best matches in football history, still can’t wrap my head around how dralithon knew the exact outcome..creepy"
@Ebot_99,I hate Inter Milan but not today 😂
@alexibardales6656,Por que solo cantan los goles del barsa
@ta8779,Hahahahahaa Barcelona is soooo trash. 😂😂😂😂😂😂😂
@JBonJavi,Los compraarbitros se van para casita.
@Gladwin-yj5ul,Shouldve been the final
@rodriguemassianga801,Ct une bed de soirée Champions'League
@alvarosinapellidos3038,Independientemente de quien haya ganado..los dos merecian estar en la final.partidazo
@fabiodaffin1304,Bus parkir
@mytime98,Thanks inter for save this world from bad noise pollution ✌️
@ActorMalawo,Internazionale has given us a peaceful night and showed us to say odds don't play football I'm happy over this win very Happy
@luisgarcia1452,Opens
@jpccampos35,Un gusto escuchar la imparcialidad de los narradores 😂
@Barbahan1299,53 yaşındayım böyle muhteşem bir maç görmedim Türkiyeden selamlar
@gandalf3405Guinmli,¡SI NO HAY ARBITROS COMPRADOS TODO CAMBIA!!
@luisgarcia1452,Donde estás tamal negro y que tienes que decir ahora
@Amanzwinner,They learn from man united❤
@luisgarcia1452,Donde Esta a tamal negro y Que Townes Que de it agora
@JackLynti,Inter will win the champions league
@achungkhouchung6610,Inter defeated Noisy Pollution FC & Fans 😂😂😂
@RealTalker16,미쳤다 경기 ㄷㄷㄷ
@dridi5964,"Thnnx inter Milan ❤
F Barcelona"
@ClaudeMagicbox,"At the 4-3 by Frattessi the Sagrada Familia said ""holy shit"" and was about to collapse because of the insane Roar of the Giant (as ex inter player Maicon defined it) 🤭😅"
@achungkhouchung6610,Best Cameraman ever 😂😂😂😂😂
@jordanmartino8719,Comparing Yamal to Messi is pointless 😊
@romaker8207,only player i feel bad for is raphina hate barca tho
@lyallbaybum69,"Incredible. 
Thank you Internazionale and Barcelona for such an example of football.
Show this to the youngsters and inspire them to greatness."
@anti_hero_official,Forza inter!!!! 🎉
@charliebodler,"2 ucl finals in 3 years, serie is so back!!!"
@EarthwalkerEst,"The camera angles is craaaaazzzzyyy, where'd you get the footage"
@mohromdhoni4106,"What a impossible game ,,,very attractive"
@njrneo9451,Real Madrid gonna pay for this.
@use-vizzy,Inter survived all those ruthless attacks from Barca😏PSG wouldn't
@rofifaisal9126,"Bobrok pertahanan Barca...
Ancuuurrr"
@burgui5267,"Crazy how the referee allowed the 3-3, UEFA things in Milan again."
@romeoharrison1109,Barca give weh the match
@IkejiakuMaxwell,So Barca couldn't hold defense for just 8 minutes?😢
@nkosienhleko3213,Barcelon defender allowed inter to score the 3 goal
@tunggulharda394,Karma krn bayar wasit 😂😂😂😂😂😂
@DamirHadzic-d4q,Finally ECL trophy goes to Paris.
@JustinKochecha,NOISES POLLUTION KILLED
@joptv1591,Thank you inter for saving the world from noise pollution. Am a Madrid fan 😂
@lollypop1689,"FC Barcelona has fallen in Milan. Let‘s take the next step 🖤💙

Respect to Barça 🫡

And

🖤💙🖤 Forza Inter 🖤💙🖤"
@mikerita4608,"Barcelona president should always remember that, it's only real Madrid can do come back in semifinal😂, inter president has contacted Madrid president and he took Florentino advice and won the game with mature mentality,  😂😂 you need to be humble and stop attacking those who are well ahead of you."
@amayritus,What a wonderful game ❤❤❤
@LaguViralChannel-jj5ky,Congratulations to Inter Milan for qualifying for the UCL final. A very good season for Inter Milan's performance. 👍🎉🔥🎇
@juancarloszucchinolemus9461,"No solo fue un partidazo fue una serie extraordinaria, con buen fútbol y golazos. Gracias Inter y Barsa por darnos un gran espectáculo"
@MrFacepalmStudio,"Barcelona deserved this Champions League Finall more, penalty for Inter was a gift and no two penalties for Barcelona."
@manuelvherrera,El Inter nos tiene que dar las gracias 💙❤️⚽
@YouTube-User-Random,SOMMER 💙🖤
@solistic_bee8082,"Yea y'all can shut up 
Barcelona ia ASSSSSSSS😂🤣🤣🤣

and im here for it babbyyyy😂😂😂"
@hendrapermana355,Kyanya sekarng lgi musim biruuuuu yg juaraaaaa...bravo inter.
@BIBEK-CHETRY7,We are going to win champions league 🥰🥰
@RonniePropertybali-i8c,"Barca gak bakal juara lagi,selagi gak minta maaf ke drogba(chelshe) sudah kena kutuk kecurangan"
@joel3659,Florentino is the responsable that Barça is eliminated.
@luciobianchi6145,a casa
@ugodavidpureheart,"Barcelona was playing against the whole world,,,,Barcelona has so much enemies....But am happy that Real madrid Colapsed in the hands of barcelona this season and they will pay the price on Sunday El Clasico.......Barcelona forevermore....."
@DanzzJagoEpep,Why are so many people Inter fans tonight?
@ДенисХафизов-ы8т,Эти 2 игры Интера и Барселоны заслужили финала!
@yogaadhagumilar2549,World class spectaculer❤
@harcherr,😂😂😂😂😂😂👍👍👍👍👍
@guidocapezzuoli,"WHAT ABOUT THE 2 MISSED PENALTIES FOR BARCELONA....?? 
IF YOU LIKE SOCCER YOU CANNOT LIKE INTER."
@roni_jaloeh2025,💙🖤💙🖤💙🖤🫶🫶🫶🫶
@talimkarawang4710,saya merindukan kebangkita sepakbola italia menghiasi kompetisi champion
@jamjar1948,"Taremi and the whole Inter team were Amazing, congrats"
@talimkarawang4710,apakah ini era kebangkitan club asal itali?
@resurrection202x,bravissiomo mental el milan 👍🏻
@bmt8975,Mierdas esos highlights
@godsentuangbaoje3553,"So Barca could not hold their side for five more minutes after leading 3-2 at the 87th minute to seal the win. I just feel the game streak is too much for them. These guys needed to rest more, the fatigue contributed to this loss"
@federicocoria3810,El Barcelona juega re bien pero no se puede con arquero asi como tiene el inter y los dos se defiende mal
@harukachandesuu,FORZA INTER 🟦⬛
@sumarlanrri6395,"komentatornya kalo Barca kasih gol teriak teriak, kalo inter yang kasih gol slow😀😀😀😀😀"
@hoostheplage479,The goalie socks 😂that's all
@dmemcfc3,2Two2 defensive errors one after the other cost Barcelona 🙄
@mohamadiskandar2257,happy nice dream badutlona😂😂😂😂
@NahidulIslam-cc7xy,Wonderful  goal
@JoshuaOresanya-dj5lg,"That 93rd minute equalizer from Acerbi, no one expected it to come. Power of football. 
THE CHAMPIONS LEAGUE 🗿💀"
@emmanuelalale387,"When Barcelona last won the Champions League, the iPhone 4 was the current model. 😅😅"
@mariocastanedaguerrero4533,"Este Martínez, no canta los goles con la misma intensidad para las 2 escuadras. Parece muy forofo del Barcelona"
@EmekliBaba1956ankara,"Well done Inter, well done Türkiye's pride Lemin Yamal in my opinion"
@Peppo761,"NON SONO INTERISTA, MA IN CHAMPIONS DOBBIAMO TIFARE PER TUTTE LE SQUADRE ITALIANE, ALDILÀ DI TUTTO!! L'INTER IN QUESTO MOMENTO E L'ORGOGLIO ITALIANO 🇮🇹🇮🇹"
@Tumadi24,"Yes interrrrr
Yes yes"
@ELGibran999,Bravoooo intermilano 🔥🔥🔥🔥🔥🔥🔥
@JoshuaOresanya-dj5lg,"BIG W  TO INTER NGL 🖤💙. 
They're really ""on a mission"" unlike a certain youngster 🤡🤣🤣"
@j.a4472,Real Madrid will be the happiest team
@OLAYINKABOLA-em7mf,I am sure Mbappe will be happy by now 😅😅😅
@apriltincture2646,The match is so memorable
@JosephIbe-h5u,"Commentator is a Barca fan. 😂😂 Look at the way he screams when Barcelona scores..you could feel the joy from his lungs. Sadly, they went home 😂"
@Melyzzny,Barca kena prank😅😅
@SergioRomeuBata,Não vale esconder sair a rua trajados à rigor
@giovannifrancescoraffaele8029,"Il Barcellona sarà la futura squadra piu forte al mondo, l inter a messo il cuore"
@HenryGomez-v8e,Que pena porque los seguidores del Barcelona pero...el Juventus le ganó un buen partido.👏👏👏
@Hipnotismo.colectivo,DEL PLATO SE CAYO LA SOPA
@williestepney1419,Barcelona and Real Madrid Are Out ? THANK GOD OOO
@samy-zb6sf,Los comentaristas dan un poco de vergüenza inventando faltas
@football4u4u,emotional match between 2 top teams in the world! Whichever team makes it to the final deserves it
@user-zo9fv1cq4v,"ancheloti messing with arda guler gave barcha 2 trophies , fk u anchloti , viva inter viva falestina"
@muhammadnashiridhafi119,Inter Madrid vs Barcelona 😂
@Letesteur19,"March Ultra corrompus l'arbitrage pour l'inter ,peno ,corners hors jeu non siffle c'est sur que @ 13 c'est vs 11 ca va etre difficile de gagner,...j'ai jamais vu autant de faute,... sifflé sur le barca😢"
@ChoirulAnam-xn8df,Sudah diibilangin 15 ucl itu susah 😂😂😂
@juiceer3320,Forza inter
@PabloRodríguezEsteban,Siiiiiiuuuuuuuuuuuuuu Inter
@DenMas-mr6zv,87: 2-3
@Acm1899hhyc,Inter will win Championship 🏆
@officialkofikingtv1391,Inter will win the champions league Cup ❤❤❤
@PabloGarzon-ki7jk,"Si no fue el Madrid, menos el Barsa....! 😆"
@rod1802,Tears of joy. so deserved. Hollywood actors Barca never deserved it.
@kidbonank877,Liga Italia hanya Intermilan yg selalu menyingkirkan Barcelona di liga campion...👏🏻👏🏻👏🏻
@BuleBinjai93,"Why do they always go over the top celebrating. 🙃
Imagine a tennis player pulling off his shirt after winning the first two sets running around like a maniac, being in the happiest moment of his life. Just to go on and lose the match and not make it into the Grand Slam final."
@football4u4u,"Inter is so stubborn and brave, congratulations to all Inter fans, raise your arms 🎉🎉🎉"
@MemetAriadi,Inter taking the disallowed goal in the first leg🎉🎉🎉
@franzinhocarrcaalv9985,"Si quieren ver la sexta, que pongan el canal de tv"
@DelFamilyLodge,Real Madrid fans let's gather here 🎉
@mrconservative8558,For Barcelona haters>>> you all about to piss your pants every time Barcelona have the ball. See you next season hopefully in our camp nou.. cheers 🎉🎉🎉
