Username,Comment
@ASFDT-o2l,Best match you could ever se e that was insane
@flisflip9738,"Barcelona. We play open, attacking football
Inter. Yes"
@ANomad1,The commentator hates Interb😂
@ibrohimbek_1M,Inter milan🔥
@Bijithkumar._69,Absolute movie 🖐🏻😐🤚🏻
@vin07-7,Dumfries.. Fried barca  5 g/a to barca 😂
@dennismunene7013,I don't understand Spanish but can clearly hear the commentators were biased towards Barcelona
@birdmen491,"Brawo, brawo i srarcelonka poległa ha ha ha i nawet varciniak nie wydrukował  no to już jest szok kompletny"
@seciliomartinez-i5x,♥️♥️♥️💜💜🩵🌈🌟
@badyoutuber1986,🥲 beautiful
@SolaPaul56,The sans were amazing
@Loen-sigma,Nooooo barca😢
@JaXXTHAONE,Chelsea vs barcelona 2012 semifnal same vibes
@yomismo1959,comentarista totalmente catalan ....jejejejej
@DoctorMark-y9t,I think gona be best for many years
@Kalikhan-ok8hm,The best team from underrated players!
@Kalikhan-ok8hm,Don't mess with Inter's DEFENSE!!!🔥🔥🔥
@yomismo1959,Viva Inter y España
@klemmetv6875,Naa... you must se Fredrikstad vs viking 84
@rezaurrahman7481,Hala Madrid😎😎😎😎
@viorelpiscanu9425,Mamma Mia❤❤❤❤ What a masterpiece played on the pitch by two very good teams! 😊😊😊
@shihabhasan6949,Forza Inter 🔵
@afrodailytv4335,Bad angles
@SA..................,"Ahora a por la independencia 
😂😂"
@davidborgjimenezgarcia8308,Ande vas Pedri😂😂😂😂
@pauldissosha9921,Well played inter....
@LayamFAKIH,😢😢😢😢😢😢😢😢😢
@martinfilip_si,We are in 2025 and some dude drop that shitty highlights and it even gots 2mil views
@Siddharthakhan-i7f,🤣🤣🤣🤣🤣🤣🤣🤣🤣😂Inter destroyed barka loser 😂😂😂😂
@brianmandishonha6272,Football
@pradipytrff2330,😢😢😢😢😢😢😢
@genesis3k,Dang as a madrid fan i really expected barca to win man
@peteralpatty,shameful history and none stop against FCB team they don't know how to stop them only be there referee.  and also when the Italian style will change it's such horrible style...
@rifathossain1154,Remontada💥
@Blessedone-2567,Inter has always been Barca's nightmare 2010 UCL semi final was also a good one
@СтепанЛебедкин-п3ж,Inter 💙🖤💙🖤💙🖤💪
@chandrakantasoni4615,Liverpool forever
@johnsonnice3712,I am a real madrid fan inter player  DUMFRIES❤❤❤ deserve great  award for these match
@Fuseini-d6n,Winning the champions league is not easy but  Real madrid makes it looks simple 😂😂😂6 in 10yrs thats crazyyyy
@Sans_nom_premier,"Inter scoring : gol 😪
Barca scoring : GOALLLLLLLLLLLLLLL"
@samkraft8488,Footballll hasn’t felt the same last years and this game defiantly gave that feeling of football back
@orejandro240381,I’m a Barça fan and i’m pretty sad but i really enjoyed it and thought it was fair. BARÇA ❤💙
@CakGomblo-j7o,Yan sommer TOP
@Zawesta_Mc,Yee Inter saved Real madrid fans ❤❤
@Wichen10,Inter is the. E
@yusijak8392,"명문 빅클럽 간 최고의 경기

야말.. 너는 진짜 넥스트 메시 맞는것같다 ㅋㅋ"
@Bosanac99,Hala inter!!!🎉🎉🎉
@johnwong8021,Inter Vs Arsenal final game😮
@Шах-ф4щ,🇦🇿🌟💯👉⚽ Inter 👍
@morbidproductions4674,If only bro saw the offside trap barca coulda won that😮
@jchip0o,"Ol""mosaudsalah""mo  seems becomes Messi, CR7, Mbappe,now Martinez 4321 players in one person in war of ""not training-soft training"" heavy pigs on my grandmother's chicken court... Headfish was true fine like zz10 or pele10 , almost 😠 . Not happy seeing just replay."
